date,1. open,2. high,3. low,4. close,5. volume
2025-08-18,329.62,336.27,329.59,335.16,56956552.0
2025-08-15,337.655,339.3,327.02,330.56,74319792.0
2025-08-14,335.76,340.4699,330.4,335.58,75000662.0
2025-08-13,341.5,348.98,338.2,339.38,67838892.0
2025-08-12,345.0,345.26,332.94,340.84,80690111.0
2025-08-11,335.0,346.64,334.15,339.03,105320174.0
2025-08-08,321.43,335.15,320.98,329.65,91200319.0
2025-08-07,319.79,322.4,316.16,322.27,66658672.0
2025-08-06,307.89,320.47,306.9345,319.91,78523579.0
2025-08-05,308.95,312.4499,305.5,308.72,57961278.0
2025-08-04,309.08,312.1186,303.0001,309.26,78683905.0
2025-08-01,306.205,309.31,297.82,302.63,89121446.0
2025-07-31,319.605,321.37,306.1,308.27,85270919.0
2025-07-30,322.18,324.4499,311.6164,319.04,83931942.0
2025-07-29,325.55,326.25,318.25,321.2,87358861.0
2025-07-28,318.45,330.49,315.69,325.59,112673755.0
2025-07-25,308.74,323.63,308.01,316.06,148227027.0
2025-07-24,310.0,310.15,300.41,305.3,156966023.0
2025-07-23,330.9,336.2,328.67,332.56,92553756.0
2025-07-22,329.74,335.4098,321.55,332.11,77370371.0
2025-07-21,334.4,338.0,326.88,328.49,75768797.0
2025-07-18,321.66,330.9,321.42,329.65,94254993.0
2025-07-17,323.15,324.34,317.0601,319.41,73922870.0
2025-07-16,312.8,323.5,312.62,321.67,97284786.0
2025-07-15,319.675,321.2,310.5,310.78,77556346.0
2025-07-14,317.73,322.5986,312.67,316.9,78043430.0
2025-07-11,307.89,314.09,305.65,313.51,79236442.0
2025-07-10,300.05,310.48,300.0,309.87,104365271.0
2025-07-09,297.55,300.15,293.55,295.88,75586771.0
2025-07-08,297.0,304.0499,294.35,297.81,103246742.0
2025-07-07,291.37,296.15,288.7701,293.94,131177949.0
2025-07-03,317.99,318.45,312.76,315.35,58042302.0
2025-07-02,312.63,316.832,303.82,315.65,119483730.0
2025-07-01,298.46,305.89,293.21,300.71,145085665.0
2025-06-30,319.9,325.5799,316.6,317.66,76695081.0
2025-06-27,324.51,329.3393,317.495,323.63,89067049.0
2025-06-26,324.61,331.05,323.61,325.78,80440907.0
2025-06-25,342.7,343.0,320.4,327.55,119845050.0
2025-06-24,356.17,356.26,340.44,340.47,114736245.0
2025-06-23,327.54,357.54,327.48,348.68,190716815.0
2025-06-20,327.95,332.36,317.78,322.16,108688008.0
2025-06-18,317.31,329.32,315.45,322.05,95137686.0
2025-06-17,326.09,327.26,314.74,316.35,88282669.0
2025-06-16,331.29,332.05,326.41,329.13,83925858.0
2025-06-13,313.97,332.99,313.3,325.31,128964279.0
2025-06-12,323.075,332.56,316.86,319.11,105127536.0
2025-06-11,334.395,335.5,322.5,326.43,122611360.0
2025-06-10,314.94,327.83,310.667,326.09,151256520.0
2025-06-09,285.955,309.83,281.85,308.58,140908876.0
2025-06-06,298.83,305.5,291.14,295.14,164747685.0
2025-06-05,322.49,324.5499,273.21,284.7,292818655.0
2025-06-04,345.095,345.6,327.3308,332.05,98912075.0
2025-06-03,346.595,355.4,343.04,344.27,99324544.0
2025-06-02,343.5,348.02,333.33,342.69,81873829.0
2025-05-30,355.52,363.68,345.29,346.46,123474938.0
2025-05-29,365.29,367.71,356.0,358.43,88545666.0
2025-05-28,364.84,365.0,355.91,356.9,91404309.0
2025-05-27,347.35,363.79,347.32,362.89,120146414.0
2025-05-23,337.92,343.18,333.21,339.34,84654818.0
2025-05-22,331.9,347.27,331.39,341.04,97113416.0
2025-05-21,344.43,347.35,332.2,334.62,102354844.0
2025-05-20,347.87,354.9899,341.63,343.82,131715548.0
2025-05-19,336.3,343.0,333.37,342.09,88869853.0
2025-05-16,346.24,351.62,342.33,349.98,95895665.0
2025-05-15,340.34,346.1393,334.7153,342.82,97882596.0
2025-05-14,342.5,350.0,337.0,347.68,136997264.0
2025-05-13,320.0,337.5894,316.8,334.07,136992574.0
2025-05-12,321.99,322.21,311.5,318.38,112826661.0
2025-05-09,290.21,307.04,290.0,298.26,132387835.0
2025-05-08,279.63,289.8,279.41,284.82,97539448.0
2025-05-07,276.88,277.92,271.0,276.22,71882408.0
2025-05-06,273.105,277.73,271.35,275.35,76715792.0
2025-05-05,284.57,284.849,274.4,280.26,94618882.0
2025-05-02,284.9,294.78,279.81,287.21,114454683.0
2025-05-01,280.01,290.8688,279.81,280.52,99658974.0
2025-04-30,279.9,284.45,270.78,282.16,128961057.0
2025-04-29,285.5,293.32,279.4695,292.03,108906553.0
2025-04-28,288.98,294.86,272.42,285.88,151731771.0
2025-04-25,261.69,286.85,259.63,284.95,167560688.0
2025-04-24,250.5,259.54,249.2,259.51,94464195.0
2025-04-23,254.86,259.4499,244.43,250.74,150381903.0
2025-04-22,230.96,242.79,229.8501,237.97,120858452.0
2025-04-21,230.26,232.21,222.79,227.5,97768007.0
2025-04-17,243.47,244.34,237.6833,241.37,83404775.0
2025-04-16,247.61,251.97,233.89,241.55,112378737.0
2025-04-15,249.91,258.75,247.54,254.11,79594318.0
2025-04-14,258.36,261.8,245.93,252.35,100135241.0
2025-04-11,251.84,257.74,241.3629,252.31,128948085.0
2025-04-10,260.0,262.49,239.33,252.4,181722604.0
2025-04-09,224.69,274.69,223.88,272.2,219433373.0
2025-04-08,245.0,250.44,217.8,221.86,171603472.0
2025-04-07,223.78,252.0,214.25,233.29,183453776.0
2025-04-04,255.38,261.0,236.0,239.43,181229353.0
2025-04-03,265.29,276.3,261.51,267.28,136174291.0
2025-04-02,254.6,284.99,251.27,282.76,212787817.0
2025-04-01,263.8,277.45,259.25,268.46,146486911.0
2025-03-31,249.31,260.56,243.3601,259.16,134008936.0
2025-03-28,275.575,276.1,260.57,263.55,123809389.0
2025-03-27,272.48,291.85,271.8216,273.13,162572146.0
2025-03-26,282.66,284.9,266.51,272.06,156254441.0
